"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Mode_of_Transport","Value","Value_Type","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","219","Trips per person per year","4392","3966","1045","959",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","131","Trips per person per year","2621","2459","1045","959",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","35","Trips per person per year","696","559","1045","959",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","28","Trips per person per year","560","435","1045","959",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","243","Trips per person per year","4876","4074","1045","959",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","All modes","972","Trips per person per year","1282818","1197787","68842","68371",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Bicycle","17","Trips per person per year","22979","20253","68842","68371",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Bus in London","11","Trips per person per year","14878","13304","68842","68371",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Car / van driver","410","Trips per person per year","540764","510164","68842","68371",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","211","Trips per person per year","279113","267136","68842","68371",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","London Underground","8","Trips per person per year","10830","8536","68842","68371",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","3","Trips per person per year","4420","3776","68842","68371",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Non-local bus","1","Trips per person per year","837","814","68842","68371",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Other local bus","40","Trips per person per year","53083","48226","68842","68371",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Other private transport","7","Trips per person per year","8987","8712","68842","68371",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Other public transport","3","Trips per person per year","3551","3122","68842","68371",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Surface Rail","19","Trips per person per year","25702","22691","68842","68371",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","10","Trips per person per year","13397","12126","68842","68371",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Walk","230","Trips per person per year","304276","278927","68842","68371",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","957","Trips per person per year","1427811","1328686","77773","76547",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","17","Trips per person per year","24911","22066","77773","76547",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","18","Trips per person per year","26244","23419","77773","76547",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","388","Trips per person per year","578210","543111","77773","76547",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","204","Trips per person per year","305029","289506","77773","76547",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","10","Trips per person per year","14972","11839","77773","76547",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","3","Trips per person per year","4257","3646","77773","76547",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","Trips per person per year","930","869","77773","76547",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","38","Trips per person per year","56002","50564","77773","76547",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","7","Trips per person per year","9697","9330","77773","76547",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","3","Trips per person per year","4494","3865","77773","76547",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","21","Trips per person per year","31299","27400","77773","76547",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","10","Trips per person per year","15073","13498","77773","76547",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","239","Trips per person per year","356692","329573","77773","76547",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","802","Trips per person per year","92683","81409","6026","5579",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","8","Trips per person per year","955","814","6026","5579",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","45","Trips per person per year","5199","4542","6026","5579",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","249","Trips per person per year","28723","25323","6026","5579",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","171","Trips per person per year","19776","18005","6026","5579",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","19","Trips per person per year","2241","1827","6026","5579",""
"Average trips per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
