"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Mode_of_Transport","Value","Value_Type","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by mode of transport","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1586","Miles per person per year","35295","30529","3873","3312","1161","1081",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","1768","Miles per person per year","39344","36194","5768","5296","1161","1081",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","154","Miles per person per year","3421","2739","487","379","1161","1081",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","243","Miles per person per year","5398","4479","1230","1050","1161","1081",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","560","Miles per person per year","12460","10490","614","491","1161","1081",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","269","Miles per person per year","5987","5084","9947","8597","1161","1081",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","4440","Miles per person per year","81795","72642","18339","16184","961","895",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","241","Miles per person per year","4432","3984","1358","1256","961","895",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","1784","Miles per person per year","32872","30502","4347","3874","961","895",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","1216","Miles per person per year","22394","19996","2894","2587","961","895",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","137","Miles per person per year","2530","2018","406","314","961","895",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","169","Miles per person per year","3107","2496","798","630","961","895",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","491","Miles per person per year","9052","7440","535","438","961","895",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","217","Miles per person per year","3989","3377","7314","6512","961","895",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","White","ONS 2011 5+1","All modes","6878","Miles per person per year","8600033","8110921","1359998","1269059","65190","64519",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","White","ONS 2011 5+1","Bicycle","61","Miles per person per year","75992","68031","23156","20621","65190","64519",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","White","ONS 2011 5+1","Bus in London","45","Miles per person per year","55951","48401","18892","16279","65190","64519",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","White","ONS 2011 5+1","Car / van driver","3504","Miles per person per year","4381016","4159229","521337","491704","65190","64519",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","1917","Miles per person per year","2396821","2285405","267959","253544","65190","64519",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","White","ONS 2011 5+1","London Underground","86","Miles per person per year","107912","87422","17078","13690","65190","64519",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","33","Miles per person per year","40651","36427","3703","3149","65190","64519",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","White","ONS 2011 5+1","Non-local bus","46","Miles per person per year","57068","54160","698","663","65190","64519",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","White","ONS 2011 5+1","Other local bus","182","Miles per person per year","228091","208532","48073","43662","65190","64519",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","White","ONS 2011 5+1","Other private transport","110","Miles per person per year","137730","133074","9575","9114","65190","64519",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","White","ONS 2011 5+1","Other public transport","48","Miles per person per year","59885","55646","5112","4433","65190","64519",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","White","ONS 2011 5+1","Surface Rail","586","Miles per person per year","732869","673192","26647","23547","65190","64519",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","58","Miles per person per year","73135","67535","14408","13000","65190","64519",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","White","ONS 2011 5+1","Walk","202","Miles per person per year","252912","233868","403362","375653","65190","64519",""
